nes_NAS_1_vs_NAS_0	fdr_NAS_1_vs_NAS_0	nes_NAS_2_vs_NAS_1	fdr_NAS_2_vs_NAS_1	nes_NAS_3_vs_NAS_2	fdr_NAS_3_vs_NAS_2	nes_NAS_4_vs_NAS_3	fdr_NAS_4_vs_NAS_3	nes_NAS_5_vs_NAS_4	fdr_NAS_5_vs_NAS_4	nes_NAS_6_vs_NAS_5	fdr_NAS_6_vs_NAS_5	nes_NAS_7_vs_NAS_6	fdr_NAS_7_vs_NAS_6
FEZF2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FGF2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FHL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FIGLA	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FIZ1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FLI1	1.06799820306387	0.536222971269889	1.41314918909346	0.597746905470603	-1.40388763366431	0.978420451943337	2.28044893985647	0.0869371420236857	2.26377472386537	0.0944958445875926	-0.779232272102701	0.962321347823288	0.516249388807455	0.828499250935862
FLYWCH1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOS	2.69274009364208	0.060631074664269	0.281768104608579	0.936177224214436	0.401945747644417	0.978420451943337	2.95556392225925	0.0215038073732822	4.80280229041557	2.78018017221167e-05	0.0314145095701272	0.992111275594177	3.06608021708142	0.0626255781097106
FOSB	0.320877797455563	0.89321949000788	0.106682031172545	0.969269247940633	1.46247972585512	0.978420451943337	1.37876226438069	0.344067687736911	1.45686142721748	0.304824734483857	0.00123968386395252	0.999010875638026	-0.18174952178134	0.945245380690548
FOSL1	1.3740087037305	0.390245708172099	-0.180686715841027	0.966397351123826	-0.919737628496696	0.978420451943337	2.48688890831462	0.0583685512629029	-1.97284184645705	0.150981890827152	0.478153058771919	0.976172081720909	0.158282938678662	0.945245380690548
FOSL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXA1	-0.453327169209084	0.863264868530294	-0.922006655507349	0.807424500437023	1.26584055536664	0.978420451943337	-0.89041700592577	0.590562919327179	0.598257121302918	0.709348583098156	-0.469502027199972	0.976172081720909	0.0567005791012707	0.967346656291701
FOXA2	-0.399412769351002	0.882604054841882	-1.18357783251394	0.700641419826166	-0.117973064549228	0.978420451943337	-1.39190866862561	0.341193360816658	-0.448219822380618	0.797517719426363	0.206244272811834	0.976172081720909	0.562340822951783	0.815279498415149
FOXA3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXC1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXC2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXD1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXD2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXD3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXD4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXE1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXF1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXF2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXG1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXH1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXI1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXI3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXJ1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXJ2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXJ3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXK1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXK2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXM1	-0.0628989424904117	0.970861290598678	-0.276144705278421	0.93649186386405	0.357765588810257	0.978420451943337	0.417982447666471	0.809050510638361	-0.114621432420246	0.962599265619881	0.827307482756906	0.962321347823288	1.99628768653066	0.284761669865183
FOXN1	0.504520965622251	0.841510651292131	0.126342598015258	0.966397351123826	0.150991681901516	0.978420451943337	0.58358685235634	0.706251962450113	0.667504181118978	0.673572152075645	0.96017724158006	0.962321347823288	-0.418190577415947	0.872227334258624
FOXN3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXN4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXO1	-1.32597421958431	0.399064885236904	2.46703905362275	0.222291659284288	-0.743225878267073	0.978420451943337	-0.796845767398513	0.62713945694563	2.2615336826257	0.0944958445875926	-2.12970998576331	0.766817529939942	0.835315681973855	0.717096753647067
FOXO3	-1.21204713403146	0.456922738775578	1.3629796372134	0.633926070177397	-1.15926859871086	0.978420451943337	-0.893723632715783	0.590562919327179	1.62160143170831	0.268055455547507	-1.03737544912193	0.962321347823288	1.1124940909769	0.615963182073338
FOXO4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXO6	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXP2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXP3	-0.843246075420591	0.635792984611426	0.41353262239646	0.928846269587052	0.638498947181314	0.978420451943337	-0.367633907181468	0.838089185259883	1.09473539843346	0.455435051500771	-2.73997907524778	0.525776022054959	2.10499019339716	0.26298352757347
FOXP4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXQ1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOXS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FUS	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GABPA	1.20119739663751	0.461346448844257	0.0114176798230056	0.99181874524463	-0.388164811943632	0.978420451943337	-0.108494847690245	0.946593465223415	0.546274352188354	0.750592616632425	-0.905549121204705	0.962321347823288	-0.591854507149614	0.815279498415149
GATA1	2.57030501899472	0.0782389355228677	-1.65648938449661	0.532105822667991	1.23116472854038	0.978420451943337	0.279150232283681	0.867796148083194	0.70728987107651	0.660010725865446	-0.449404549143826	0.976172081720909	-0.464183797385095	0.863500125481444
GATA2	0.390845359172073	0.882604054841882	1.14050495611763	0.715750652185616	0.0424126402266528	0.97888251186766	0.98993655750065	0.531638463616988	2.15021193658545	0.115640999465227	-1.00546835934406	0.962321347823288	0.794495372955402	0.730485484916668
GATA3	0.304881450946971	0.89321949000788	-0.391103683808219	0.928846269587052	-0.346414003278045	0.978420451943337	0.690299848324226	0.669411677090801	0.446770645589614	0.797517719426363	-0.195146739758862	0.976172081720909	0.239843140695313	0.93233114259575
GATA4	0.399857374133996	0.882604054841882	0.290385106066529	0.936177224214436	-1.98183551936976	0.931244946489854	1.7786891837125	0.214718017647482	1.46002773449815	0.304824734483857	-2.00285634682529	0.949046905405413	0.547580331037349	0.817572137166875
GATA5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GATA6	1.9224092501444	0.217276539173257	-0.820131562336803	0.83623278549262	-0.713179772916412	0.978420451943337	2.82803933530768	0.0270466647636024	0.442689322504509	0.797517719426363	-0.299820610233799	0.976172081720909	0.340888005788276	0.918622410979011
GATAD2B	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GBX2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCM1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCM2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GFI1	0.299899828272449	0.89321949000788	-0.339264382143208	0.928846269587052	-0.235479754896011	0.978420451943337	-0.210148489642875	0.896426503307891	-1.35941798054461	0.334977289972483	-1.30237706306341	0.962321347823288	0.182401681198499	0.945245380690548
GFI1B	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GLI1	-0.262892802566696	0.902409652210158	2.67006803253704	0.186178365982038	-0.611670329018989	0.978420451943337	2.16351107189759	0.112547018565689	2.57758353201838	0.0486804879664764	-0.760543183343501	0.962321347823288	1.96420008766308	0.293233133470411
GLI2	0.179402474057804	0.917178750614706	0.460867290764253	0.928846269587052	-0.720382870135666	0.978420451943337	1.4074538040602	0.337961307305225	1.63589076697759	0.267388933102162	0.368173902526281	0.976172081720909	1.5941620896651	0.382451510204153
GLI3	0.203934700541684	0.91354455618538	-0.049282128916686	0.981948763509901	0.614959855373992	0.978420451943337	0.625297968961117	0.69210368066977	2.00854658875517	0.145514124246403	-0.0805977198740073	0.984194289847463	1.335955415779	0.509040346928111
GLIS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GLIS3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GMEB1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GRHL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GRHL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GRHL3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GSC	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GSC2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GSX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GSX2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GTF2A1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GTF2B	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GTF2F1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GTF2I	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GTF2IRD1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GTF3A	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GZF1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HAND1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HAND2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HBP1	0.255761510429678	0.902409652210158	1.23926308999361	0.681127495389319	0.703887539606545	0.978420451943337	0.861334484058965	0.595175092529291	2.70791611987725	0.0347563279778927	0.356314499272085	0.976172081720909	0.733793292705711	0.737725947668591
HCFC1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HDAC1	-1.77685108442946	0.262973920662313	1.11752242822286	0.734109693493816	-0.951483107679198	0.978420451943337	-2.12062588059277	0.1181736916403	-1.73202287673803	0.226297082872254	-0.605785004679877	0.976172081720909	-1.07050059606532	0.626611661051698
HDAC3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HDAC4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HDAC5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HDAC7	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HDAC9	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HDGF	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HELT	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HES1	0.751683558760071	0.682795809005035	-0.196938325742188	0.966397351123826	-0.766918164507251	0.978420451943337	1.53196974724997	0.302247296931256	1.66031507834757	0.260146516149044	0.491581007656154	0.976172081720909	1.28983177324156	0.509040346928111
HES3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HES4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HES5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HES6	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HES7	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HESX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HEY1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HEY2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HEYL	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HHEX	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HIC1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HIF1A	2.45345342924911	0.0952947770758617	0.662877719759459	0.875714041485287	1.38728438467243	0.978420451943337	1.58759926045604	0.282163952849537	2.24022547775078	0.0981800445414439	-0.362726698052236	0.976172081720909	2.70780818655463	0.108138836470701
HIF3A	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HINFP	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HIPK2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HIRA	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HIVEP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HIVEP2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HIVEP3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HLF	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HLX	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HMBOX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HMG20B	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HMGA1	3.07358089038587	0.0222081656093304	0.410900204477997	0.928846269587052	0.418561122696189	0.978420451943337	3.17535725024013	0.0138278570803402	2.93251597351817	0.0199150209210616	-0.869017602361893	0.962321347823288	0.818192775794844	0.723182459257444
HMGA2	-0.373246925033106	0.885247782563646	-1.46247537966839	0.597746905470603	0.993762708774976	0.978420451943337	2.08069260214914	0.125416433791057	-1.08910666318852	0.455576305634744	1.08179444540311	0.962321347823288	0.579988845600181	0.815279498415149
HMGB1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HMGB2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HMGXB4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HMX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HMX2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HMX3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HNF1A	-1.00350018122744	0.565179264972514	0.34742662368499	0.928846269587052	-0.887804058769362	0.978420451943337	-2.58666901073683	0.04688991622439	-1.19816805859773	0.408591202632856	1.15541958411837	0.962321347823288	0.177739469647972	0.945245380690548
HNF1B	-0.112349360283979	0.951747600489646	-0.347485551668297	0.928846269587052	0.692718548922089	0.978420451943337	-1.49220040405482	0.309438751716182	1.30048927453831	0.363277229362144	1.20908375920251	0.962321347823288	0.950637563728403	0.666903651334643
HNF4A	2.32811042799245	0.109484323982309	-0.0243884527393654	0.989106451184781	-0.497776681374623	0.978420451943337	0.439731709036855	0.802580848488053	-2.04235015016012	0.13967622491462	2.6081108463007	0.525776022054959	1.60402513761797	0.382451510204153
HNF4G	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOPX	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXA1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXA10	1.47022710621486	0.348715151238231	0.16318594048112	0.966397351123826	0.0362112908237243	0.979595227076934	0.620159940162979	0.69210368066977	-0.288807979525894	0.862320015329233	-0.187962257531098	0.976172081720909	1.00050732285536	0.656638640180746
HOXA11	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXA13	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXA2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXA3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXA4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXA5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXA7	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXA9	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXB1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXB13	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXB2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXB3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXB4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXB5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXB6	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXB7	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXB8	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXB9	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXC10	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXC11	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXC13	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXC4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXC5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXC6	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXC8	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXC9	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXD1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXD10	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXD11	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXD12	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXD13	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXD3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXD4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXD8	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOXD9	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HR	2.18367801433866	0.145559710736278	0.694453720171622	0.870022825574295	0.297299261410835	0.978420451943337	3.11661103734613	0.0156517704537889	3.09563803298474	0.0122611017040079	0.257747789630965	0.976172081720909	1.74042194384714	0.349857863600352
HSF1	1.7906082214725	0.262973920662313	-1.69952294215302	0.532105822667991	0.791735299897926	0.978420451943337	1.74512182529019	0.22808056909072	2.15226478578067	0.115640999465227	0.332854611940309	0.976172081720909	2.63448902288813	0.108138836470701
HSF2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HSF4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HTATIP2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ID1	2.40689650367326	0.0952947770758617	1.69596853219284	0.532105822667991	-0.439438094532494	0.978420451943337	0.0240708919422437	0.996311511150537	1.4739031202615	0.303339004745962	-0.171918480045986	0.976172081720909	1.30992854757573	0.509040346928111
ID2	1.31759863156642	0.401336927330327	-0.953040609518913	0.786715534571812	0.546723058364028	0.978420451943337	-0.868765393224858	0.59286221666449	0.659342025361201	0.676639041988743	-0.928061790729367	0.962321347823288	0.83527845780222	0.717096753647067
ID3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ID4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IKZF1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IKZF2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IKZF3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IKZF4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IKZF5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ING4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
INSM1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IRF1	3.08567845112042	0.0222081656093304	3.40380964348572	0.0588806194556527	-1.59029155831773	0.978420451943337	2.69011792572177	0.0358686624680611	5.18717210042043	4.48373946447057e-06	-2.671118439374	0.525776022054959	1.10747137066602	0.615963182073338
IRF2	1.43147275788003	0.368820827099963	1.95167728908772	0.471023142862479	-1.97404733511976	0.931244946489854	2.04029041086388	0.134440078229607	1.92157019091853	0.163979587314899	-1.90460633441556	0.962321347823288	0.24803122075566	0.93233114259575
IRF2BPL	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IRF3	0.443055468636438	0.863264868530294	1.58889130276927	0.555832123856062	-0.657550726200695	0.978420451943337	2.39841669679097	0.0691577098336348	2.45836831037949	0.0597049246175165	-0.709579989589277	0.962321347823288	0.58763654260845	0.815279498415149
IRF4	1.51961055767994	0.333805078000893	2.48315101002995	0.222291659284288	-1.4627430509596	0.978420451943337	2.75190075070145	0.0318299062873411	4.44403774314044	0.000119965238540644	-0.936612887396827	0.962321347823288	0.254311486035373	0.93233114259575
IRF5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IRF6	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IRF7	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IRF8	1.42805444607937	0.368820827099963	1.3532728486834	0.635136231932726	-1.29332597243752	0.978420451943337	-0.00462285168594999	0.996311511150537	4.59793977897005	6.16032647012853e-05	-1.29026606317707	0.962321347823288	0.995127799565114	0.656638640180746
IRF9	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IRX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IRX2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IRX3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IRX4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IRX5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ISL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ISL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ISX	1	1	1	1	1	1	1	1	1	1	1	1	1	1
JARID2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
JAZF1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
JDP2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
JUN	3.83137644243107	0.00245299599688383	0.436848394670082	0.928846269587052	0.639725289659905	0.978420451943337	6.44176929755561	2.72784872638595e-08	7.0026015379116	1.16078731190476e-10	-0.713384226637321	0.962321347823288	3.43846985996271	0.027027538577024
JUNB	1.3393512940101	0.397003942458595	0.284750939700429	0.936177224214436	-0.461599215735896	0.978420451943337	1.95791923011267	0.151037764421299	1.14867670199697	0.432158447978232	-1.01071865697197	0.962321347823288	0.8729458058208	0.705088687947248
JUND	0.261558170563962	0.902409652210158	0.741789563986271	0.866939600902105	-0.366235675450716	0.978420451943337	3.67220696404188	0.00396766939120985	1.59840476909035	0.270203462043822	0.152285559162856	0.980870318740597	1.76476425437591	0.347147631259433
KAT2A	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KAT2B	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KAT5	0.886291226834659	0.610784522186401	-0.31123107478547	0.933419069533577	0.46754780976967	0.978420451943337	1.07361680702323	0.477165844082914	0.82536094842953	0.602022340322177	0.470280174956983	0.976172081720909	0.736549574129789	0.737725947668591
KAT6A	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KAT6B	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KAT7	2.53273142329558	0.0843355911303555	-0.684927664712112	0.870022825574295	0.765963067922736	0.978420451943337	2.29943049166606	0.0841016427245174	2.2700925871084	0.0944958445875926	0.0765690431686812	0.984194289847463	1.293806606658	0.509040346928111
KAT8	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KCNIP3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KDM2A	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KDM2B	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KDM3B	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KDM5A	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KDM5B	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KDM5C	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KDM5D	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KLF1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KLF10	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KLF11	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KLF12	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KLF13	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KLF14	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KLF15	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KLF16	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KLF17	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KLF2	1.64488135375333	0.288362719141774	-0.337213179184788	0.928846269587052	-0.63362958471862	0.978420451943337	1.24915942994174	0.38489104931797	0.454034905634881	0.797517719426363	-2.13439956504746	0.766817529939942	1.13214048482939	0.607141959163782
KLF3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KLF4	0.802369022513213	0.662375904187179	-1.08080246869396	0.747638319304483	1.37328393767002	0.978420451943337	0.396081348454853	0.824032984531736	1.05466513780273	0.474328407209457	-0.307040513937546	0.976172081720909	1.28420313954692	0.509040346928111
